zip5,indi_bern,indi_hill,count_bern,count_hill,amt_bern,amt_hill
98002,25.0,5.0,497.0,8.0,22600.0,298.0
98003,59.0,6.0,527.0,29.0,29699.0,557.0
98004,86.0,88.0,608.0,198.0,65192.0,140427.0
98005,58.0,24.0,708.0,110.0,45733.0,14586.0
98006,96.0,45.0,874.0,142.0,72787.0,33010.0
98007,46.0,9.0,518.0,26.0,28349.0,1280.0
98008,62.0,21.0,770.0,69.0,46056.0,5854.0
98009,6.0,2.0,98.0,2.0,3903.0,5400.0
98010,5.0,0.0,40.0,0.0,1317.0,0.0
98011,74.0,10.0,607.0,49.0,34299.0,2534.0
98012,102.0,16.0,1216.0,49.0,53179.0,7321.0
98013,5.0,2.0,32.0,4.0,599.0,2101.0
98014,26.0,2.0,294.0,22.0,16326.0,257.0
98015,5.0,0.0,27.0,0.0,6914.0,0.0
98019,39.0,10.0,246.0,52.0,16991.0,2691.0
98020,83.0,35.0,907.0,126.0,51572.0,34041.0
98021,53.0,8.0,451.0,11.0,21989.0,9369.0
98022,13.0,9.0,127.0,25.0,5727.0,3994.0
98023,34.0,13.0,356.0,32.0,17192.0,1561.0
98024,17.0,7.0,234.0,25.0,6159.0,8735.0
98025,2.0,1.0,7.0,2.0,2605.0,175.0
98026,128.0,37.0,1184.0,136.0,56880.0,9302.0
98027,69.0,21.0,678.0,63.0,31801.0,20491.0
98028,73.0,13.0,579.0,37.0,32520.0,7198.0
98029,43.0,20.0,395.0,83.0,27008.0,12112.0
98030,26.0,3.0,296.0,12.0,16772.0,838.0
98031,37.0,8.0,523.0,38.0,22773.0,1209.0
98032,25.0,8.0,168.0,39.0,11868.0,1117.0
98033,112.0,82.0,1307.0,259.0,107840.0,79564.0
98034,137.0,30.0,1553.0,123.0,71912.0,25973.0
98035,2.0,0.0,10.0,0.0,1108.0,0.0
98036,66.0,19.0,769.0,60.0,72028.0,3951.0
98037,35.0,9.0,295.0,28.0,18481.0,1634.0
98038,42.0,7.0,313.0,28.0,14304.0,776.0
98039,7.0,41.0,147.0,57.0,6500.0,80750.0
98040,71.0,102.0,640.0,195.0,61479.0,110569.0
98042,50.0,10.0,625.0,48.0,29378.0,3035.0
98043,39.0,8.0,565.0,34.0,24487.0,5078.0
98045,30.0,6.0,300.0,26.0,17790.0,5757.0
98046,7.0,1.0,57.0,4.0,7286.0,465.0
98047,4.0,0.0,24.0,0.0,856.0,0.0
98050,3.0,2.0,53.0,4.0,4151.0,275.0
98051,6.0,1.0,20.0,1.0,2466.0,2700.0
98052,187.0,46.0,1441.0,148.0,136078.0,31581.0
98053,44.0,23.0,371.0,57.0,47765.0,14191.0
98055,29.0,7.0,542.0,25.0,19301.0,1428.0
98056,57.0,8.0,593.0,37.0,37450.0,1398.0
98057,30.0,7.0,573.0,39.0,26727.0,4157.0
98058,67.0,12.0,589.0,80.0,34135.0,3558.0
98059,54.0,6.0,701.0,26.0,44231.0,1589.0
98060,1.0,0.0,2.0,0.0,200.0,0.0
98061,4.0,1.0,66.0,3.0,1948.0,750.0
98062,4.0,1.0,9.0,3.0,3700.0,300.0
98063,1.0,0.0,3.0,0.0,128.0,0.0
98065,20.0,8.0,107.0,17.0,7441.0,11550.0
98068,1.0,0.0,1.0,0.0,200.0,0.0
98070,154.0,30.0,1673.0,74.0,90866.0,21385.0
98072,73.0,33.0,584.0,107.0,41415.0,13369.0
98073,2.0,1.0,38.0,1.0,1128.0,2700.0
98074,50.0,30.0,528.0,134.0,30899.0,18094.0
98075,33.0,24.0,252.0,52.0,16147.0,30107.0
98077,37.0,11.0,195.0,21.0,19740.0,15040.0
98082,2.0,1.0,7.0,11.0,519.0,229.0
98083,4.0,0.0,23.0,0.0,1818.0,0.0
98087,40.0,11.0,405.0,84.0,16163.0,2539.0
98089,1.0,0.0,1.0,0.0,27.0,0.0
98092,43.0,12.0,611.0,47.0,28134.0,4213.0
98093,2.0,2.0,57.0,13.0,1789.0,193.0
98100,1.0,0.0,2.0,0.0,200.0,0.0
98101,91.0,73.0,634.0,221.0,58959.0,76097.0
