,zip,CAND,TRANSACTION_AMT
926,02149,H.C.,13345
927,02150,B.S.,7282
928,02150,H.C.,5280
929,02151,B.S.,25650
930,02151,H.C.,13432
931,02152,B.S.,11475
932,02152,H.C.,3224
933,02154,B.S.,27
934,02155,B.S.,59777
935,02155,H.C.,27195
936,02156,B.S.,1050
937,02156,H.C.,500
938,02163,H.C.,3000
939,02167,B.S.,1676
940,02169,B.S.,32902
941,02169,H.C.,3543
942,02170,B.S.,12131
943,02170,H.C.,4193
944,02171,B.S.,8794
945,02171,H.C.,2307
946,02176,B.S.,32537
947,02176,H.C.,18638
948,02180,B.S.,23348
949,02180,H.C.,2648
950,02184,B.S.,7701
951,02184,H.C.,4550
952,02185,B.S.,50
953,02186,B.S.,50417
954,02186,H.C.,55171
955,02188,B.S.,3380
956,02188,H.C.,3816
957,02189,B.S.,6913
958,02189,H.C.,1551
959,02190,B.S.,4422
960,02190,H.C.,5310
961,02191,B.S.,2369
962,02191,H.C.,25
963,02196,H.C.,76
964,02199,B.S.,7803
965,02199,H.C.,37725
966,02200,B.S.,52
967,02205,B.S.,2731
968,02205,H.C.,500
969,02210,B.S.,19597
970,02210,H.C.,27399
971,02215,B.S.,21250
972,02215,H.C.,22950
973,02231,B.S.,200
974,02238,B.S.,1200
975,02238,H.C.,500
976,02255,H.C.,250
977,02300,B.S.,151
978,02301,B.S.,2965
979,02301,H.C.,533
980,02302,B.S.,2461
981,02302,H.C.,417
982,02303,B.S.,616
983,02304,B.S.,500
984,02310,B.S.,310
985,02312,B.S.,280
986,02322,B.S.,7050
987,02324,B.S.,16096
988,02324,H.C.,1010
989,02330,B.S.,5135
990,02330,H.C.,146
991,02331,B.S.,2077
992,02331,H.C.,1438
993,02332,B.S.,9081
994,02332,H.C.,15609
995,02333,B.S.,4118
996,02333,H.C.,750
997,02338,B.S.,3339
998,02338,H.C.,25
999,02339,B.S.,2762
1000,02339,H.C.,3136
1001,02341,B.S.,3027
1002,02341,H.C.,1100
1003,02343,B.S.,3505
1004,02343,H.C.,773
1005,02345,B.S.,200
1006,02346,B.S.,12770
1007,02346,H.C.,1202
1008,02347,B.S.,8571
1009,02347,H.C.,338
1010,02351,B.S.,4933
1011,02351,H.C.,1843
1012,02352,B.S.,300
1013,02356,B.S.,10926
1014,02356,H.C.,4868
1015,02357,B.S.,200
1016,02359,B.S.,4017
